"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0rdWkO7ncrh1lrJGDmLq9L","Gamesofluck","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","spotify:album:0ugE0qpkFDNLYFmNiUOOKA","Gamesofluck","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","2016-10-28","https://i.scdn.co/image/ab67616d0000b273355c1ef4d4638829c39bcfd8","1","1","348093","https://p.scdn.co/mp3-preview/f612484a131940bebe18c77780e821006ae5ad9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","FRU701600048","","2023-11-12T05:32:57Z"
"spotify:track:7CbdhgZjdLN1qgm9K0trnF","So Much In Love - Armin van Buuren Remix","spotify:artist:0Cs47vvRsPgEfliBU9KDiB, spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","D.O.D, Armin van Buuren","spotify:album:6OkS0D0JrPkavZibV3QaeW","So Much In Love (Armin van Buuren Remix)","spotify:artist:0Cs47vvRsPgEfliBU9KDiB, spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","D.O.D, Armin van Buuren","2023-08-04","https://i.scdn.co/image/ab67616d0000b2739645e79ec3ced596c50f0bdc","1","1","139212","https://p.scdn.co/mp3-preview/2418fb3aa91a2f95218177c442d245c285dec6ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","NLF712305782","","2023-11-11T00:39:34Z"
"spotify:track:2XeJsOIpyyKWZlrF9eMlCi","Envious - Rezident Remix","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:0hzZTaZ59eR5lESXHRVgkc","Aluna, Rezident","spotify:album:3eVVyHEF1waq5kbMFm9pdJ","Renaissance (Remixes)","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE","Aluna","2021-01-27","https://i.scdn.co/image/ab67616d0000b273f8fbfe49eda632251fddc2ea","1","7","234839","https://p.scdn.co/mp3-preview/a2211490b73c9583c883782d6b0aeea63d585183?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USZ4V2100018","","2023-11-11T00:35:56Z"
"spotify:track:614o3Tg9I7Xv8xkovjSp7a","Change Your Mind","spotify:artist:0OFn6uw0q674vCcjDRNP4I","Interupt","spotify:album:4lzvg3fmxUlAGaxfbWhBt4","Change Your Mind","spotify:artist:0OFn6uw0q674vCcjDRNP4I","Interupt","2021-08-27","https://i.scdn.co/image/ab67616d0000b273f1b8ccfe29bdc4da5afc826a","1","1","184687","https://p.scdn.co/mp3-preview/014c899b0e52a2df974c08b31e3f6ce1811511d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","AUNV02100051","","2023-11-05T03:20:42Z"
"spotify:track:5rh2zHFAI1ebnAmO3FfbaB","Isolate","spotify:artist:0Cs47vvRsPgEfliBU9KDiB","D.O.D","spotify:album:57o4JHBGDgsGvTyBjqIDbk","Isolate","spotify:artist:0Cs47vvRsPgEfliBU9KDiB","D.O.D","2021-11-05","https://i.scdn.co/image/ab67616d0000b273f8bb1660e80ed99bf9430456","1","1","179107","https://p.scdn.co/mp3-preview/7d6aa96972b3b6c3adb1f10ce3e6e1d925396b18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","NLF712108918","","2023-11-04T23:54:55Z"
"spotify:track:0hQtQ7Ad6Yx0JkqYHsVFu0","Freed From Desire - Jen Payne & CAMPS Remix","spotify:artist:07VdEUK5mf0rifGeNqs0Wg, spotify:artist:277ycuj6MwXyWZYs7hlNBj, spotify:artist:4I09QxHlK15wiHFxEWbKKR, spotify:artist:3EJxT1yUtdzeTZEBZRT4Hq","Kevin McKay, Start The Party, CAMPS, Jen Payne","spotify:album:1SvM8vd4tkbTdOr4yrUair","Freed From Desire (Jen Payne & CAMPS Remix)","spotify:artist:07VdEUK5mf0rifGeNqs0Wg, spotify:artist:4I09QxHlK15wiHFxEWbKKR, spotify:artist:3EJxT1yUtdzeTZEBZRT4Hq","Kevin McKay, CAMPS, Jen Payne","2022-12-23","https://i.scdn.co/image/ab67616d0000b273573f3122460d927851e83131","1","1","207727","https://p.scdn.co/mp3-preview/706f676fb22f4bee68260044578771a529400953?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBPQS2200138","","2023-10-30T06:23:07Z"
"spotify:track:4Zfq7r0v4FKeoxwhyLYSyb","Evacuate the Dancefloor","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","spotify:album:25JqvnrIT5lO7MEWl80pZA","Back On the Dancefloor","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","2012-04-27","https://i.scdn.co/image/ab67616d0000b273d09d5294f49f3f8d62d3c207","1","2","205884","https://p.scdn.co/mp3-preview/d82f53bc366ce253460f459539a679aecc27fc1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","DEHK90911301","","2023-10-30T06:06:54Z"
"spotify:track:0AKAxdNkwq9ZxRdW1DN9zW","Behind These Hazel Eyes","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:5gDAEao3VxFdbm8vS0koQq","Breakaway","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2004-01-17","https://i.scdn.co/image/ab67616d0000b27303dadde4d9d305c1c3e0d91c","1","3","198973","https://p.scdn.co/mp3-preview/b2a52b3a139124270fb539ef0f46f9e049e835e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCTA0400263","","2023-10-28T05:20:12Z"
"spotify:track:764aj78vmTA8kMUMY0LVdR","Don't Wanna Let Go","spotify:artist:4QWmN97HRZya55JvxN3I5a, spotify:artist:7mOEFI30ETW9l7SFMpXoH9","Taiki Nulight, Eloise Keeble","spotify:album:6zEwku2jzQqtH8FnolDyZi","Don't Wanna Let Go","spotify:artist:4QWmN97HRZya55JvxN3I5a, spotify:artist:7mOEFI30ETW9l7SFMpXoH9","Taiki Nulight, Eloise Keeble","2021-08-20","https://i.scdn.co/image/ab67616d0000b2737e9a558a8828abd4231053ef","1","1","186666","https://p.scdn.co/mp3-preview/612f103d5d15c17d85801d83e830edf50043c0e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USYBL2101404","","2023-10-25T02:48:20Z"
"spotify:track:6Z1hDo2HPxjAN8CdjsSyOy","Don't Be Faded","spotify:artist:0Eospqk319OpNppJNNb4Ol, spotify:artist:0LxLtuLEtng0iNlK08Jsvd","Thvndex, Franz Kolo","spotify:album:1CQs10Ud1lSMkKPdcL7Rjn","Don't Be Faded","spotify:artist:0Eospqk319OpNppJNNb4Ol, spotify:artist:0LxLtuLEtng0iNlK08Jsvd","Thvndex, Franz Kolo","2023-03-02","https://i.scdn.co/image/ab67616d0000b273f5c300487b61f094e07b29d8","1","1","156230","https://p.scdn.co/mp3-preview/5d2c961ee499dedc93df1d61303a01a898a581b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","NLT2H2300018","","2023-10-23T23:26:20Z"
