Track Name,Artist Name(s),Genre
Gamesofluck,Parcels,"aussietronica, indie soul"
So Much In Love - Armin van Buuren Remix,"D.O.D, Armin van Buuren","electro house, house, pop dance, uk dance, dutch house, dutch trance, edm, pop dance, progressive house, trance"
Envious - Rezident Remix,"Aluna, Rezident","dance pop, german house"
Change Your Mind,Interupt,bassline
Isolate,D.O.D,"electro house, house, pop dance, uk dance"
Freed From Desire - Jen Payne & CAMPS Remix,"Kevin McKay, Start The Party, CAMPS, Jen Payne","tech house, N/A, N/A, N/A"
Evacuate the Dancefloor,Cascada,"eurodance, europop, german techno, melbourne bounce international"
Behind These Hazel Eyes,Kelly Clarkson,"dance pop, pop, talent show"
Don't Wanna Let Go,"Taiki Nulight, Eloise Keeble","bass house, bassline, doujin, N/A"
Don't Be Faded,"Thvndex, Franz Kolo","N/A, N/A"
On The Low,"Wax Motif, longstoryshort","bass house, electro house, tech house, stutter house"
Say Yes,BYOR,"pop dance, russian edm"
Tilted Towers,Alesso,"dance pop, edm, pop, pop dance, progressive electro house"
Tulum,Vandelux,stutter house
The Little Mushroom That Got Away,"Sultan + Shepard, Lane 8","canadian electronic, progressive house, gauze pop, progressive house"
Every Step,D.O.D,"electro house, house, pop dance, uk dance"
Lost,"RSCL, it's murph, Twin Diplomacy, Jack August","stutter house, stutter house, N/A, N/A"
In The Yuma (feat. Aatig),"Chris Lake, Aatig","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, N/A"
365,"Biscits, Camden Cox","bass house, house, tech house, uk dance, uk tech house, stutter house"
Nous,Melosense,N/A
lOnDn,EMBRZ,vapor soul
More Baby,"Chris Lake, Aluna","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, dance pop"
Ghost Voices - Lane 8 Remix,"Lane 8, Virtual Self","gauze pop, progressive house, electro house, future bass"
RnR,Sultan + Shepard,"canadian electronic, progressive house"
Next to Me,RÜFÜS DU SOL,"australian electropop, indietronica"
Circe Paradigm,Space Food,russian electronic
Making Time,"Sultan + Shepard, Julia Church","canadian electronic, progressive house, N/A"
Hypnotise,EMBRZ,vapor soul
Nemea,Innassi,N/A
Take Me There,Krakota,"dancefloor dnb, deep dnb, liquid funk, uk dnb"
Remind Me Why,"Amy Wiles, Matt Fax, Mirror Machines","N/A, progressive house, progressive trance, N/A"
Adidas & Pearls,"Solardo, Vintage Culture, LOWES","house, tech house, uk dance, brazilian edm, N/A"
Miracle (with Ellie Goulding) - Mau P Remix,"Calvin Harris, Ellie Goulding, Mau P","dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, indietronica, metropopolis, pop, uk pop, tech house"
Clones,Alphabet Pony,"chillstep, deep liquid"
Marea (we’ve lost dancing),"Fred again.., The Blessed Madonna","edm, house, stutter house, edm"
Happy Music,Supershy,N/A
Last Days,Trippie Redd,"melodic rap, rap, trap"
Whispers,"Martin Badder, IDA fLO","N/A, N/A"
First & Last,Rodg,"progressive house, progressive trance"
Born In The Flames,Notaker,complextro
Atmosphere,"FISHER, Kita Alexander","australian house, house, aussietronica, australian indie"
Air,"Julian Gray, 28mm, Forts","N/A, N/A, N/A"
Raining Again,Betoko,deep disco house
Fool Me,CHYL,speed house
Drop Out,Sacha Robotti,bass house
Like This,Airmow,N/A
Love Vibration,ESSEL,tech house
Nineteen81,Jay Robinson,bass house
Air I Breathe - Sub Focus & Wilkinson,"Sub Focus, Wilkinson","dancefloor dnb, drum and bass, uk dance, dancefloor dnb, drum and bass, uk dance"
The Otherside (feat. Paige Cavell),"ACRAZE, Paige Cavell","pop dance, tech house, uk pop"
The Pressure,"Eli & Fur, Disciples","progressive house, house, pop dance, uk dance"
Take It Off,"FISHER, Aatig","australian house, house, N/A"
ILY,R!OT ,N/A
West Hills,KAVERN,wave
One Day At A Time - Mixed,Trilucid,N/A
Everything You Have Done - Meduza Edit,"GENESI, MEDUZA","N/A, edm, pop dance, pop house, uk dance"
Blaze,"Booka Shade, Jan Blomqvist","electronica, frankfurt electronic, german techno, minimal techno, deep euro house"
Instant,Arude,ukrainian electronic
Dark Waves,"Moonwalk, EarthLife","melodic techno, nu disco, italian techno"
Forced Adaptation - Five Phases Project (3/5),Innellea,munich electronic
Moulin Rouge - Anturage & Alexey Union Remix,"Ira Ange, Sunbios, Anturage, Alexey Union","N/A, N/A, groove room, N/A"
Transmission,Eelke Kleijn,"dark progressive house, minimal melodic techno"
The Answer,Anyma,stutter house
The Feeling - 2022 Remaster,Massano,melodic techno
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver","rap, atl hip hop, hip hop, rap, southern hip hop, trap, pop rap, rap, trap"
The Sign,"CamelPhat, Anyma","deep tech house, house, progressive house, uk dance, stutter house"
The Edge of Awakening,Mark Hoffen,multidisciplinary
Explore Your Future,Anyma,stutter house
Where You Are,"John Summit, Hayla","house, pop dance, tech house, uk dance, N/A"
Let Me In,"AmyElle, Shania","N/A, N/A"
Like That,Seamus D,N/A
Show Me (feat. Hannah Boleyn),"John Summit, Hannah Boleyn","house, pop dance, tech house, uk dance, N/A"
Dreams,"Gorgon City, Jem Cooke","future garage, house, pop dance, uk dance, neo-singer-songwriter"
"Sex, Drugs & Rock N Roll",Dr. Fresch,"bass house, electro house"
Armageddon,"Dr. Fresch, House Call","bass house, electro house, N/A"
Chop It Up,"BIJOU, SPLASHWOE","bass house, tech house, N/A"
Fruit of Cocoon,Dinka,progressive trance house
Romeo,Corrupt (UK),"bass house, bassline, old school bassline"
Passion,Alexi Action,N/A
Borderline,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock"
Tel Aviv,"Jesse Aerox, Alon","N/A, N/A"
Do You Feel Me - City Soul Project Remix,"NY's Finest, City Soul Project","garage house, N/A"
Blinded,J. Axel,deep deep house
Tell Me,RÜFÜS DU SOL,"australian electropop, indietronica"
Alive (with Roland Clark),"David Guetta, Jack Back, Fancy Inc, Roland Clark","big room, dance pop, edm, pop, pop dance, N/A, brazilian bass, brazilian edm, garage house"
Check Out,"J. Worra, Leo Stannard","bass house, tech house, indie anthem-folk"
Middle,Noizu,"bass house, house, tech house"
Wings (I Won't Let You Down),"Armand Van Helden, Karen Harding","big beat, classic house, deep house, disco house, filter house, house, speed garage, tribal house, uk dance, vocal house, house, pop dance, uk dance"
079,"Rain Radio, Block Notice","uk house, N/A"
Hyperreal,Grigoré,N/A
METAMORPHOSIS 2,INTERWORLD,phonk brasileiro
Feel It,NIKITA,N/A
Reasons,Eric K.,N/A
Guilty Conscience - Zookëper Remix,"070 Shake, Zookëper","new jersey rap, electro house, pop edm"
Cocaine,Phantoms,la pop
METAMORPHOSIS,INTERWORLD,phonk brasileiro
Encounters,"Yotto, Booka Shade","finnish edm, progressive house, electronica, frankfurt electronic, german techno, minimal techno"
Night Drive,Wilee,"anime phonk, chill phonk"
Paris Madness,Samaran,N/A
Tasty - Extended Mix,Me & My Toothbrush,N/A
