Track URI,Track Name,Artist Name(s),genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:0rdWkO7ncrh1lrJGDmLq9L,Gamesofluck,Parcels,"aussietronica, indie soul",0.659,0.757,9,-5.275,0,0.038,0.128,0.485,0.0859,0.553,104.997
spotify:track:7CbdhgZjdLN1qgm9K0trnF,So Much In Love - Armin van Buuren Remix,"D.O.D, Armin van Buuren","electro house, house, pop dance, uk dance, dutch trance, edm, pop dance, progressive house, trance",0.672,0.769,2,-5.887,1,0.0788,0.0477,0.00488,0.439,0.39,132.083
spotify:track:2XeJsOIpyyKWZlrF9eMlCi,Envious - Rezident Remix,"Aluna, Rezident","dance pop, german house, melodic house",0.659,0.71,1,-7.476,0,0.0341,0.143,0.173,0.09,0.281,120.02
spotify:track:614o3Tg9I7Xv8xkovjSp7a,Change Your Mind,Interupt,bassline,0.677,0.864,1,-5.466,0,0.0689,0.00571,0.00478,0.356,0.663,128.055
spotify:track:5rh2zHFAI1ebnAmO3FfbaB,Isolate,D.O.D,"electro house, house, pop dance, uk dance",0.662,0.884,4,-4.669,0,0.05,0.209,0.162,0.098,0.381,126.04
spotify:track:0hQtQ7Ad6Yx0JkqYHsVFu0,Freed From Desire - Jen Payne & CAMPS Remix,"Kevin McKay, Start The Party, CAMPS, Jen Payne","tech house, N/A, N/A, N/A",0.822,0.717,2,-6.032,1,0.033,0.0755,0.0066,0.0665,0.253,132.001
spotify:track:4Zfq7r0v4FKeoxwhyLYSyb,Evacuate the Dancefloor,Cascada,"eurodance, europop, german techno, melbourne bounce international",0.76,0.696,0,-5.811,1,0.0491,0.0195,0.0,0.278,0.903,127.029
spotify:track:0AKAxdNkwq9ZxRdW1DN9zW,Behind These Hazel Eyes,Kelly Clarkson,"dance pop, pop, talent show",0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048
spotify:track:764aj78vmTA8kMUMY0LVdR,Don't Wanna Let Go,"Taiki Nulight, Eloise Keeble","bass house, bassline, doujin, N/A",0.739,0.747,10,-8.223,0,0.0377,0.000193,0.051,0.259,0.542,125.978
spotify:track:6Z1hDo2HPxjAN8CdjsSyOy,Don't Be Faded,"Thvndex, Franz Kolo","N/A, N/A",0.71,0.783,7,-9.191,1,0.0576,0.0137,0.795,0.0902,0.832,125.976
spotify:track:4iXj0bNwBMHgomSBfrG1M4,On The Low,"Wax Motif, longstoryshort","bass house, electro house, tech house, stutter house",0.8,0.858,2,-2.672,0,0.0445,0.0274,0.000147,0.356,0.312,126.074
spotify:track:1YIYwFUDRzlQK0IXAVxPcN,Say Yes,BYOR,"pop dance, russian edm",0.841,0.755,4,-6.045,1,0.0495,0.000375,0.746,0.0781,0.631,125.084
spotify:track:5hdAQegqnitMjNacfLOHQd,Tilted Towers,Alesso,"dance pop, edm, pop, pop dance, progressive electro house",0.702,0.842,7,-5.059,1,0.0331,0.000771,0.828,0.28,0.175,124.01
spotify:track:4yPqxzBhXslFCcOq6fKanw,Tulum,Vandelux,stutter house,0.861,0.533,11,-9.425,0,0.0798,0.0323,0.835,0.3,0.322,110.008
spotify:track:2luKkgm9p46Yf7cQ4pMWaR,The Little Mushroom That Got Away,"Sultan + Shepard, Lane 8","canadian electronic, melodic house, progressive house, gauze pop, melodic house, progressive house",0.592,0.846,10,-7.039,0,0.0322,0.0412,0.876,0.0964,0.0821,121.99
spotify:track:7me5d5XmtCCfbDk3SsyXqM,Every Step,D.O.D,"electro house, house, pop dance, uk dance",0.662,0.872,0,-4.874,0,0.0318,0.0729,0.016,0.156,0.372,121.989
spotify:track:5XFktAerFHxM4tp7EhzTrh,Lost,"RSCL, it's murph, Twin Diplomacy, Jack August","stutter house, stutter house, N/A, N/A",0.672,0.868,11,-6.525,0,0.0412,0.00185,0.492,0.244,0.491,126.03
spotify:track:2e2yKavdT6WQzzMHwNtPFa,In The Yuma (feat. Aatig),"Chris Lake, Aatig","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, N/A",0.846,0.891,1,-4.902,0,0.0652,0.000394,0.803,0.124,0.94,126.029
spotify:track:5roFM0I1K6um2yIYL6kGq2,365,"Biscits, Camden Cox","bass house, house, tech house, uk dance, uk tech house, stutter house",0.81,0.554,11,-17.77,0,0.192,0.0181,0.00718,0.73,0.79,127.019
spotify:track:2THuPK6bfhZt3CtdGHGkpQ,Nous,Melosense,melodic house,0.764,0.689,4,-10.72,0,0.0647,0.582,0.903,0.379,0.304,107.993
spotify:track:16vsw3UO3DmSmRDzmoaHx7,lOnDn,EMBRZ,"melodic house, vapor soul",0.857,0.476,1,-11.803,0,0.136,0.803,0.858,0.101,0.19,124.028
spotify:track:02QE4LsAj7DBjMRxolGE8a,More Baby,"Chris Lake, Aluna","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, dance pop",0.75,0.87,11,-7.109,1,0.055,0.00166,0.607,0.11,0.966,125.996
spotify:track:5TSwDA5UvNPnBu1maDYbDi,Ghost Voices - Lane 8 Remix,"Lane 8, Virtual Self","gauze pop, melodic house, progressive house, electro house, future bass",0.611,0.571,2,-9.441,1,0.0317,0.0195,0.815,0.0988,0.039,123.0
spotify:track:1MKMYTuVJIYTgaHkY2odWk,RnR,Sultan + Shepard,"canadian electronic, melodic house, progressive house",0.599,0.855,8,-7.967,1,0.0381,0.0463,0.879,0.139,0.111,121.986
spotify:track:6NAFSxL8yGctNgHqxfQEF5,Next to Me,RÜFÜS DU SOL,"australian electropop, indietronica",0.638,0.609,7,-7.332,1,0.0295,0.112,0.127,0.115,0.31,117.981
spotify:track:7jtkoPCFn7EQwz9LSb2ZP0,Circe Paradigm,Space Food,russian electronic,0.781,0.786,4,-7.58,1,0.0548,0.003,0.833,0.119,0.14,122.006
spotify:track:3hYVvOf0m67UxBdG57vgd5,Making Time,"Sultan + Shepard, Julia Church","canadian electronic, melodic house, progressive house, melodic house",0.582,0.655,0,-8.817,1,0.029,0.416,0.124,0.112,0.0386,117.028
spotify:track:2mMU59Yg9zIq65BVVZlxeK,Hypnotise,EMBRZ,"melodic house, vapor soul",0.78,0.749,9,-9.72,1,0.0692,0.0883,0.896,0.111,0.414,126.03
spotify:track:5wbHTAl6KbDCnc6OVYOAiw,Nemea,Innassi,N/A,0.682,0.778,5,-8.108,1,0.05,0.000925,0.882,0.084,0.321,123.997
spotify:track:5umMUXvIkUVd8uk1BVY8YG,Take Me There,Krakota,"dancefloor dnb, deep dnb, liquid funk, uk dnb",0.375,0.978,0,-3.08,0,0.0645,0.000232,0.337,0.294,0.0807,173.988
spotify:track:4Iigt7tO6KbCeqNaNjqAjo,Remind Me Why,"Amy Wiles, Matt Fax, Mirror Machines","N/A, melodic house, progressive house, progressive trance, N/A",0.238,0.916,5,-6.147,0,0.0397,0.00147,0.00373,0.0854,0.076,123.368
spotify:track:2zME1tNgLyHCJ29E2uSeJM,Adidas & Pearls,"Solardo, Vintage Culture, LOWES","house, tech house, uk dance, brazilian edm, N/A",0.589,0.893,7,-8.24,0,0.0428,0.000875,0.00822,0.0917,0.433,125.0
spotify:track:3lsiqFV6SKhBgzQCpuM1JR,Miracle (with Ellie Goulding) - Mau P Remix,"Calvin Harris, Ellie Goulding, Mau P","dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, indietronica, metropopolis, pop, uk pop, tech house",0.642,0.943,8,-6.87,1,0.0519,0.00134,0.085,0.155,0.44,128.005
spotify:track:56P5BkNoQrbI1tAKlueLPM,Clones,Alphabet Pony,"chillstep, deep liquid",0.73,0.903,2,-5.495,1,0.044,0.166,0.866,0.0892,0.619,140.036
spotify:track:1t0Jmqg1pKVBbxjQFZebeR,Marea (we’ve lost dancing),"Fred again.., The Blessed Madonna","edm, house, stutter house, edm",0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023
spotify:track:7uGpUhy4uf2UrHH7TyhM6C,Happy Music,Supershy,N/A,0.777,0.737,11,-5.86,0,0.0351,0.0421,0.379,0.0265,0.891,123.993
spotify:track:6m63k9onxYHiugyMIy2jjg,Last Days,Trippie Redd,"melodic rap, rap, trap",0.448,0.828,6,-5.941,0,0.0889,0.0131,0.00185,0.157,0.31,183.905
spotify:track:0Rz8DdxSqMuYDzTrzXSQNG,Whispers,"Martin Badder, IDA fLO","N/A, N/A",0.569,0.841,7,-6.59,1,0.0304,0.00041,0.0216,0.0764,0.0819,124.999
spotify:track:72Qv1nLUSvyWLy7OgVtseR,First & Last,Rodg,"progressive house, progressive trance",0.678,0.721,0,-6.598,1,0.0357,0.0674,0.123,0.418,0.215,127.996
spotify:track:1jSavGCC2nx0qJwXmfXzU6,Born In The Flames,Notaker,complextro,0.689,0.501,10,-9.325,0,0.0636,0.125,0.695,0.188,0.0802,110.01
spotify:track:1aNUSKBe6UMyMk3pEu9ws7,Atmosphere,"FISHER, Kita Alexander","australian house, house, aussietronica, australian indie",0.762,0.895,8,-4.562,1,0.0737,0.00618,0.145,0.203,0.755,125.979
spotify:track:3GKhHQzNho4VB0psTST7o4,Air,"Julian Gray, 28mm, Forts","N/A, N/A, N/A",0.458,0.756,0,-6.842,0,0.19,0.0225,0.0,0.106,0.248,125.952
spotify:track:1sycoZpCnUvoFbsUymOpqN,Raining Again,Betoko,deep disco house,0.81,0.538,5,-9.836,0,0.0456,0.0311,0.745,0.19,0.663,120.01
spotify:track:6fviOwXHvwwN7GdAuVaH5v,Fool Me,CHYL,speed house,0.669,0.984,6,-3.799,0,0.299,0.00575,0.0196,0.324,0.351,150.002
spotify:track:4SR2tt1iFntDvpKAwAVW8p,Drop Out,Sacha Robotti,bass house,0.816,0.662,11,-9.228,0,0.0659,0.00946,0.787,0.0432,0.488,124.0
spotify:track:45pJULGnCkxlrgy6oR3w3L,Like This,Airmow,N/A,0.666,0.951,2,-5.494,1,0.0577,0.0471,0.388,0.137,0.281,117.017
spotify:track:5B2Fil0dJNfob1W8gpL5E4,Love Vibration,ESSEL,tech house,0.773,0.903,11,-5.279,1,0.0417,0.00171,0.617,0.0476,0.762,123.926
spotify:track:4vuN4eG0EgYZziB6Ll3sIW,Nineteen81,Jay Robinson,bass house,0.803,0.901,6,-8.804,1,0.0891,0.00594,0.834,0.0525,0.45,124.0
spotify:track:0B6pOWMK4fV4YYtbe7cpHg,Air I Breathe - Sub Focus & Wilkinson,"Sub Focus, Wilkinson","dancefloor dnb, drum and bass, uk dance, dancefloor dnb, drum and bass, uk dance",0.436,0.927,5,-4.371,0,0.0521,0.0976,0.00709,0.169,0.0391,174.011
spotify:track:4BtscbDsAeMeIXRCpEXMTH,The Otherside (feat. Paige Cavell),"ACRAZE, Paige Cavell","pop dance, tech house, uk pop",0.608,0.866,6,-5.834,0,0.0546,0.0119,0.189,0.175,0.175,125.964
spotify:track:4Thv0GimduAZXpKmT2nINT,The Pressure,"Eli & Fur, Disciples","melodic house, progressive house, house, pop dance, uk dance",0.78,0.752,2,-6.153,0,0.0382,0.0356,0.00643,0.102,0.735,122.006
spotify:track:0OUGLr0XvMg1uynU1tn6pq,Take It Off,"FISHER, Aatig","australian house, house, N/A",0.883,0.706,1,-6.609,1,0.201,0.000509,0.265,0.363,0.595,127.015
spotify:track:4I9y7rSZ4eerjR3CBrHiGu,ILY,R!OT ,N/A,0.825,0.896,1,-4.374,1,0.0562,0.21,0.72,0.0872,0.333,119.978
spotify:track:4P6jwNikmwFMbGOG06N0VB,West Hills,KAVERN,wave,0.774,0.864,2,-4.438,0,0.0667,0.192,0.0356,0.0894,0.17,150.067
spotify:track:2UgAg8jTbWAd5Q6qPnzHp1,One Day At A Time - Mixed,Trilucid,melodic house,0.705,0.844,7,-5.813,0,0.0361,0.0221,0.782,0.127,0.677,122.005
spotify:track:5ooCfBqZyTB5CTdu1x7S77,Everything You Have Done - Meduza Edit,"GENESI, MEDUZA","N/A, edm, pop dance, pop house, uk dance",0.678,0.935,2,-6.382,1,0.0592,0.0459,0.202,0.198,0.485,124.989
spotify:track:5vx3XZNWCSIIhKmsutYbn5,Blaze,"Booka Shade, Jan Blomqvist","electronica, frankfurt electronic, german techno, minimal techno, deep euro house, melodic house",0.664,0.636,8,-6.722,0,0.0317,0.0115,0.631,0.0523,0.383,123.996
spotify:track:3WJJk1goyW5chCYFe85H9s,Instant,Arude,ukrainian electronic,0.771,0.865,2,-9.091,1,0.0846,0.0107,0.913,0.079,0.0393,122.993
spotify:track:2SIywaExbw39WSlS768Sg6,Dark Waves,"Moonwalk, EarthLife","melodic techno, nu disco, italian techno",0.606,0.874,5,-6.614,0,0.0353,0.00207,0.88,0.101,0.245,123.97
spotify:track:5exfh0hD3psAo4qgeedqYN,Forced Adaptation - Five Phases Project (3/5),Innellea,"melodic house, munich electronic",0.695,0.879,7,-7.134,1,0.0734,0.00374,0.773,0.108,0.219,122.989
spotify:track:38GAPOxJNT3DTFBOGBSnjg,Moulin Rouge - Anturage & Alexey Union Remix,"Ira Ange, Sunbios, Anturage, Alexey Union","N/A, N/A, groove room, N/A",0.81,0.876,6,-6.971,0,0.0565,0.0112,0.789,0.0847,0.377,121.993
spotify:track:0q4jvSCvU5fVkq1X5Fhcri,Transmission,Eelke Kleijn,melodic house,0.724,0.91,2,-6.508,1,0.041,0.000236,0.921,0.0883,0.583,124.008
spotify:track:2itJP0FWfjtboZdfE9A8EL,The Answer,Anyma,stutter house,0.568,0.847,3,-6.379,1,0.0533,0.00166,0.858,0.228,0.0322,125.093
spotify:track:4ZhVRSxT1JP0SWp4VF0EL9,The Feeling - 2022 Remaster,Massano,melodic techno,0.716,0.862,11,-9.065,0,0.0588,0.0017,0.883,0.221,0.0352,123.983
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver","rap, atl hip hop, hip hop, rap, southern hip hop, trap, pop rap, rap, trap",0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048
spotify:track:0hjRzBuGh9qGGzcbW7xK12,The Sign,"CamelPhat, Anyma","deep tech house, house, progressive house, uk dance, stutter house",0.714,0.782,7,-7.316,0,0.0402,0.0756,0.64,0.256,0.0663,121.969
spotify:track:7IWyYvzaBqc8M3W2D4nbgL,The Edge of Awakening,Mark Hoffen,multidisciplinary,0.696,0.641,5,-12.465,0,0.0348,0.104,0.856,0.0849,0.0266,123.973
spotify:track:5SfcsMI2nJhdZpmwCcNEGf,Explore Your Future,Anyma,stutter house,0.716,0.881,11,-7.027,0,0.0536,0.000561,0.67,0.216,0.293,123.984
spotify:track:4qDpLaFGf5ampf2DXD2TMA,Where You Are,"John Summit, Hayla","house, pop dance, tech house, uk dance, N/A",0.56,0.832,9,-6.432,0,0.0363,0.00953,0.00541,0.546,0.0818,126.0
spotify:track:63TnIai4KFF6E2D2PNvyWo,Let Me In,"AmyElle, Shania","N/A, N/A",0.516,0.886,6,-7.656,0,0.037,0.00139,0.559,0.365,0.0588,126.01
spotify:track:0ddvXI226RBn6NXy692GK7,Like That,Seamus D,N/A,0.718,0.754,3,-7.919,0,0.0374,0.0173,0.0111,0.143,0.198,123.98
spotify:track:5U5Q3MbGlEc6q9NK9lMiPD,Show Me (feat. Hannah Boleyn),"John Summit, Hannah Boleyn","house, pop dance, tech house, uk dance, N/A",0.663,0.802,2,-5.126,0,0.0381,0.005,0.0419,0.617,0.307,125.989
spotify:track:0yiDgx6WOtlJCVPQ5Q7Ob3,Dreams,"Gorgon City, Jem Cooke","future garage, house, pop dance, uk dance, neo-singer-songwriter",0.671,0.897,6,-5.232,0,0.0298,0.0553,0.272,0.148,0.493,123.985
spotify:track:51llEgu6NuzwtQqVyAEaY9,"Sex, Drugs & Rock N Roll",Dr. Fresch,"bass house, electro house",0.664,0.64,9,-5.08,1,0.0766,0.139,0.688,0.162,0.382,123.97
spotify:track:71hBq5pcZeN0tfpiJiDY6c,Armageddon,"Dr. Fresch, House Call","bass house, electro house, N/A",0.812,0.954,11,-4.174,1,0.0626,0.137,0.171,0.0835,0.256,105.972
spotify:track:0KJAVizRhvcLNd2f8QxhdI,Chop It Up,"BIJOU, SPLASHWOE","bass house, tech house, N/A",0.691,0.661,2,-3.263,1,0.0348,0.00222,0.0258,0.207,0.635,126.021
spotify:track:4FEZlGJVmfRSHjARjhUzbk,Fruit of Cocoon,Dinka,progressive trance house,0.595,0.925,8,-5.227,0,0.0317,0.0902,0.864,0.0796,0.326,127.02
spotify:track:5sRjSBt7feBd03mXz4xatE,Romeo,Corrupt (UK),"bass house, bassline, old school bassline",0.866,0.668,11,-4.676,0,0.0495,0.0281,0.00123,0.0752,0.856,126.013
spotify:track:4FUkN928CsU8dW9mo90LXA,Passion,Alexi Action,N/A,0.707,0.781,8,-5.366,0,0.0336,0.0259,0.0907,0.0719,0.249,94.978
spotify:track:5hM5arv9KDbCHS0k9uqwjr,Borderline,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock",0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96
spotify:track:0UMvTQF736CXGReOrfF5Fo,Tel Aviv,"Jesse Aerox, Alon","N/A, N/A",0.697,0.35,7,-15.067,1,0.0383,0.193,6.51e-05,0.0785,0.202,119.938
spotify:track:0VIVrtScJca47hUR4QHy6w,Do You Feel Me - City Soul Project Remix,"NY's Finest, City Soul Project","garage house, N/A",0.811,0.834,1,-7.845,1,0.0526,0.0035,0.892,0.581,0.946,122.013
spotify:track:59EoeRHuRHM8vzijkjAxio,Blinded,J. Axel,deep deep house,0.748,0.657,7,-8.459,1,0.0663,0.0708,0.815,0.151,0.3,115.022
spotify:track:4qgIyiVn5pcAvsFQr8W5Yi,Tell Me,RÜFÜS DU SOL,"australian electropop, indietronica",0.677,0.737,7,-7.409,1,0.027,0.0702,0.0513,0.357,0.32,119.989
spotify:track:6nGtbklEfeXapvjTbV8kzn,Alive (with Roland Clark),"David Guetta, Jack Back, Fancy Inc, Roland Clark","big room, dance pop, edm, pop, pop dance, N/A, brazilian bass, brazilian edm, garage house",0.68,0.912,11,-8.785,1,0.058,0.0149,0.0316,0.69,0.327,124.994
spotify:track:2n6qz4opcJlHsEpI8030YM,Check Out,"J. Worra, Leo Stannard","bass house, tech house, indie anthem-folk",0.814,0.675,10,-6.761,0,0.042,0.00577,0.0818,0.0956,0.776,125.0
spotify:track:7cb1au0v5kAw8fPdCio8Zi,Middle,Noizu,"bass house, house, tech house",0.737,0.976,11,-5.958,0,0.0561,0.0112,0.43,0.298,0.692,127.009
spotify:track:0QZyAYqpbsfnBfZ4vMRSVd,Wings (I Won't Let You Down),"Armand Van Helden, Karen Harding","big beat, classic house, deep house, disco house, filter house, house, speed garage, tribal house, uk dance, vocal house, house, pop dance, uk dance",0.692,0.856,1,-2.963,0,0.0351,0.0746,1.15e-05,0.153,0.963,125.99
spotify:track:1ULaCASWLNrzg76Jt3VDWd,079,"Rain Radio, Block Notice","uk house, N/A",0.806,0.7,1,-7.253,1,0.339,0.0104,0.0389,0.12,0.594,125.061
spotify:track:3NxY6I8zzqT2F2Ue2G8BRZ,Hyperreal,Grigoré,melodic techno,0.659,0.936,4,-5.838,0,0.0376,0.00103,0.698,0.196,0.0828,121.994
spotify:track:7zrFlFy5RVCd51CwRv1m62,METAMORPHOSIS 2,INTERWORLD,phonk brasileiro,0.606,0.865,8,-8.126,1,0.0554,0.0628,0.461,0.12,0.405,105.01
spotify:track:1Dc3NvXrrIrxAp7rmZdiwL,Feel It,NIKITA,N/A,0.674,0.878,10,-4.564,0,0.0785,0.0185,0.227,0.172,0.355,126.01
